Engine_speed_rpm,Engine_torque_Nm,Power_in_kW
1450.25,-76.55,-111.0166375
1437.75,-75.565,-108.6435788
1436.25,-74.58,-107.115525
1413.5,-73.595,-104.0265325
1405,-73.103,-102.709715
1392.25,-73.103,-101.7776518
1381.75,-73.103,-101.0100703
1366.75,-73.595,-100.5859663
1354.75,-74.58,-101.037255
1343.5,-75.565,-101.5215775
1334,-75.072,-100.146048
1316.25,-74.087,-97.51701375
1308.25,-51.432,-67.285914
1307.25,-29.27,-38.2632075
1297.5,-26.315,-34.1437125
1288.5,-24.838,-32.003763
1277.25,-24.838,-31.7243355
1272.25,-24.838,-31.6001455
1268,-24.838,-31.494584
1262,-24.838,-31.345556
1259,-24.838,-31.271042
1251,-24.838,-31.072338
1248.25,-24.838,-31.0040335
1237,-24.838,-30.724606
1234.25,-24.838,-30.6563015
1229.5,-24.838,-30.538321
1223.25,-24.838,-30.3830835
1217.5,-24.838,-30.240265
1211.75,-24.838,-30.0974465
1208.75,-24.838,-30.0229325
1205.25,-24.838,-29.9359995
1198.75,-24.838,-29.7745525
1192.25,-25.823,-30.78747175
1186,-29.27,-34.71422
1178.5,-32.225,-37.9771625
1175.5,-35.673,-41.9336115
1166.5,-39.12,-45.63348
1157,-42.075,-48.680775
1151.25,-45.523,-52.40835375
1141.5,-48.97,-55.899255
1130.75,-51.925,-58.71419375
1120.25,-55.373,-62.03160325
1115.5,-56.358,-62.867349
1103.25,-57.835,-63.80646375
1095.25,-60.298,-66.0413845
1079.25,-62.268,-67.202739
1077,-63.745,-68.653365
1066.25,-65.223,-69.54402375
1053.75,-68.178,-71.8425675
1062,-71.133,-75.543246
1096.75,-71.132,-78.014021
1141.5,-68.67,-78.386805
1194.25,-65.715,-78.48013875
1257,-61.283,-77.032731
1326,-57.342,-76.035492
1396,-52.417,-73.174132
1440.75,-46.508,-67.006401
1395.75,-46.508,-64.913541
1375,-46.508,-63.9485
1334.25,-46.015,-61.39551375
1309.25,-46.015,-60.24513875
1291.75,-45.522,-58.8030435
1278.5,-45.03,-57.570855
1258.5,-37.643,-47.3737155
1239,-27.792,-34.434288
1233.75,-25.33,-31.2508875
1221.25,-24.838,-30.3334075
1205.25,-26.315,-31.71615375
1182.25,-28.285,-33.43994125
1166,-30.255,-35.27733
1151.75,-32.225,-37.11514375
1126.75,-34.688,-39.084704
1104,-36.658,-40.470432
1080,-38.628,-41.71824
1054,-40.105,-42.27067
1028.25,-39.612,-40.731039
998,-38.627,-38.549746
968.75,-37.642,-36.4656875
941.25,-36.658,-34.5043425
908.25,-34.687,-31.50446775
882.5,-31.732,-28.00349
853.5,-28.777,-24.5611695
826.25,-24.837,-20.52157125
803,-20.898,-16.781094
773.5,-17.942,-13.878137
748.5,-14.002,-10.480497
720,-9.077,-6.53544
706,-6.122,-4.322132
674.75,-4.153,-2.80223675
652,-1.69,-1.10188
626.5,-0.212,-0.132818
600.25,8.653,5.19396325
566.5,9.638,5.459927
532.25,10.13,5.3916925
509.75,10.623,5.41507425
491,12.592,6.182672
481,11.608,5.583448
470.25,12.1,5.690025
462,13.085,6.04527
457.75,13.578,6.2153295
455,14.07,6.40185
447,15.055,6.729585
450.75,15.548,7.008261
452.75,16.04,7.26211
454.5,16.04,7.29018
464.75,16.04,7.45459
458,15.548,7.120984
457.5,16.04,7.3383
461,16.04,7.39444
458.75,15.547,7.13218625
459.75,15.548,7.148193
460.25,16.04,7.38241
461.25,16.532,7.625385
461,16.04,7.39444
461,17.025,7.848525
461.25,17.025,7.85278125
461,17.025,7.848525
461.5,17.025,7.8570375
461.75,17.025,7.86129375
457.25,17.517,8.00964825
377.25,17.025,6.42268125
249.75,17.025,4.25199375
139.5,17.025,2.3749875
0,19.487,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
143.25,17.025,2.43883125
353,17.025,6.009825
422.5,16.04,6.7769
521.25,17.025,8.87428125
595.25,32.292,19.221813
601.25,48.545,29.18768125
797.5,47.56,37.9291
984,36.725,36.1374
1124.25,49.53,55.6841025
1165.75,63.32,73.81529
1247.75,60.857,75.93432175
1289.25,60.858,78.4611765
1312.75,61.843,81.18439825
1339,62.335,83.466565
1319.5,64.797,85.4996415
1323.5,72.678,96.189333
1340.5,78.588,105.347214
1365.75,83.02,113.384565
1416.75,84.005,119.0140838
1459.5,84.005,122.6052975
1486.75,84.99,126.3588825
1502.75,87.453,131.4199958
1516,90.9,137.8044
1522.25,95.333,145.1206593
1518,101.242,153.685356
1523,107.153,163.194019
1555,109.123,169.686265
1580.5,111.585,176.3600925
1638.75,115.525,189.3165938
1718,113.062,194.240516
1775.75,110.6,196.39795
1836.5,108.63,199.498995
1882.5,107.645,202.6417125
1924.25,106.167,204.2918498
1969.75,105.675,208.1533313
2009.5,105.675,212.3539125
2054.75,105.675,217.1357063
2091,105.675,220.966425
2140.75,104.69,224.1151175
2194.25,103.212,226.472931
2241.5,102.72,230.24688
2298,100.75,231.5235
2339.5,99.765,233.4002175
2368.75,98.78,233.985125
2368.5,99.272,235.125732
2303,102.72,236.56416
2154.25,109.615,236.1381138
2001.5,118.48,237.13772
1929.25,123.898,239.0302165
1939,124.39,241.19221
2001.5,121.435,243.0521525
2022.5,122.42,247.59445
2023.75,122.913,248.7451838
2046,123.898,253.495308
2076.5,124.39,258.295835
2088.75,125.375,261.8770313
2097.25,126.36,265.00851
2077,126.853,263.473681
2074,127.837,265.133938
2067,127.837,264.239079
2075.25,119.957,248.9407643
2058,119.957,246.871506
2062.5,119.957,247.4113125
2097.25,119.957,251.5798183
2122,114.047,242.007734
2125.25,112.077,238.1916443
2108.5,106.167,223.8531195
2131.5,101.242,215.797323
2149.75,94.347,202.8224633
2158.5,84.005,181.3247925
2167.5,79.08,171.4059
2131.75,72.677,154.9291948
2005,69.723,139.794615
1861.75,74.648,138.975914
1736.75,80.065,139.0528888
1651.25,84.99,140.3397375
1576.5,88.93,140.198145
1534.25,91.885,140.9745613
1535,91.885,141.043475
1564,90.407,141.396548
1579,90.408,142.754232
1579,96.81,152.86299
1586.75,97.302,154.3939485
1622.25,97.303,157.8497918
1628.75,101.242,164.8979075
1622,104.198,169.009156
1636,106.66,174.49576
1657.75,118.48,196.41022
1670.5,124.883,208.6170515
1667.25,125.375,209.0314688
1600,129.808,207.6928
1612.25,134.733,217.2232793
1630,135.225,220.41675
1640.5,134.732,221.027846
1655,134.732,222.98146
1666.75,134.732,224.564561
1683.75,133.255,224.3681063
1691.75,127.345,215.4359038
1697.5,118.48,201.1198
1716.5,108.63,186.463395
1721.75,98.78,170.074465
1742.25,94.347,164.3760608
1739.75,91.885,159.8569288
1752.25,90.9,159.279525
1748.75,90.9,158.961375
1752.5,90.408,158.44002
1726.75,91.393,157.8128628
1651,95.825,158.207075
1586.5,99.765,158.2771725
1526,104.197,159.004622
1452.5,109.615,159.2157875
1450.5,116.51,168.997755
1488,120.45,179.2296
1532.75,120.943,185.3753833
1520,127.345,193.5644
1492,129.315,192.93798
1496.5,130.3,194.99395
1466.5,130.793,191.8079345
1450.5,131.778,191.143989
1464.25,134.732,197.281331
1487.75,137.688,204.845322
1491.25,148.523,221.4849238
1523,152.955,232.950465
1568.5,150.492,236.046702
1539.75,149.507,230.2034033
1494,153.94,229.98636
1520.25,155.91,237.0221775
1593.5,155.91,248.442585
1589.5,155.91,247.818945
1554.5,142.612,221.690354
1559.25,98.287,153.2540048
1496.75,76.125,113.9400938
1545,76.617,118.373265
1522.75,62.827,95.66981425
1530.25,61.842,94.6337205
1541.75,61.842,95.3449035
1535,61.35,94.17225
1543.25,61.35,94.6783875
1547.5,61.35,94.939125
1542.75,61.35,94.6477125
1549.75,61.35,95.0771625
1553.25,68.738,106.7672985
1553.5,71.692,111.373522
1564.75,71.692,112.180057
1582,71.692,113.416744
1592.5,71.2,113.386
1600.25,71.2,113.9378
1595.75,71.2,113.6174
1599,71.2,113.8488
1610.75,71.2,114.6854
1617.75,70.707,114.3862493
1629,70.707,115.181703
1632.5,69.722,113.821165
1631.75,68.737,112.1615998
1635.25,68.737,112.4021793
1647.5,68.737,113.2442075
1657.75,62.335,103.3358463
1656,49.53,82.02168
1628,38.695,62.99546
1604,34.262,54.956248
1612.75,31.307,50.49036425
1605.75,23.427,37.61790525
1608,19.98,32.12784
1605.5,19.487,31.2863785
1609.5,19.487,31.3643265
1607.75,22.935,36.87374625
1608.5,30.815,49.5659275
1611.25,42.635,68.69564375
1621,74.648,121.004408
1711.75,102.227,174.9870673
1803.25,108.63,195.8870475
1771,109.615,194.128165
1758.5,120.45,211.811325
1791.5,120.45,215.786175
1773.75,119.465,211.9010438
1751.5,120.45,210.968175
1744.5,121.435,211.8433575
1735,121.927,211.543345
1715.75,121.927,209.1962503
1700.75,121.927,207.3673453
1694,121.927,206.544338
1693.75,115.032,194.83545
1692.25,90.9,153.825525
1691.25,61.35,103.7581875
1699.75,39.187,66.60810325
1702.75,32.292,54.985203
1703.75,31.8,54.17925
1704.25,31.8,54.19515
1705,28.352,48.34016
1707.25,22.935,39.15577875
1701,17.517,29.796417
1703.5,14.562,24.806367
1707,14.562,24.857334
1703.75,14.562,24.8100075
1700,14.562,24.7554
1700.25,15.055,25.59726375
1701.25,18.01,30.6395125
1700.75,18.01,30.6305075
1699.5,19.488,33.119856
1700.75,27.86,47.382895
1700.5,31.308,53.239254
1703.5,34.263,58.3670205
1706.25,37.71,64.3426875
1724.5,37.71,65.030895
1742,37.71,65.69082
1748,37.71,65.91708
1748.75,40.665,71.11291875
1752.75,41.65,73.0020375
1755.5,43.128,75.711204
1756.75,45.59,80.0902325
1752.75,48.545,85.08724875
1749.25,51.008,89.225744
1750.5,54.455,95.3234775
1757.25,54.947,96.55561575
1748.75,54.947,96.08856625
1740.5,54.947,95.6352535
1733.75,42.635,73.91843125
1725.75,29.83,51.4791225
1723.25,24.905,42.91754125
1718.75,21.95,37.7265625
1724,17.517,30.199308
1718.25,15.055,25.86825375
1717.75,15.055,25.86072625
1721.25,14.562,25.0648425
1721,14.562,25.061202
1720.75,14.562,25.0575615
1718.5,14.562,25.024797
1719.75,14.562,25.0429995
1714.5,14.563,24.9682635
1713.25,15.055,25.79297875
1712.5,25.398,43.494075
1712.5,33.77,57.831125
1717,50.023,85.889491
1734.5,83.02,143.99819
1833.25,85.975,157.6136688
1836,87.945,161.46702
1769.75,95.333,168.7155768
1765,102.228,180.43242
1788.25,102.72,183.68904
1815.25,101.735,184.6744588
1797,101.735,182.817795
1777.75,102.227,181.7340493
1777.5,102.227,181.7084925
1770.75,102.227,181.0184603
1776.5,101.735,180.7322275
1779.75,86.467,153.8896433
1778.5,82.527,146.7742695
1777,77.11,137.02447
1780,68.245,121.4761
1783.75,51.992,92.74073
1770.75,44.112,78.111324
1730.25,41.158,71.2136295
1598.5,41.65,66.577525
1446.25,45.59,65.9345375
1350,50.022,67.5297
1362.25,50.023,68.14383175
1322,51.008,67.432576
1287.5,51.993,66.9409875
1269.5,52.977,67.2543015
1267.25,52.977,67.13510325
1265.5,52.977,67.0423935
1255.75,52.977,66.52586775
1243.25,47.56,59.12897
1243.5,45.59,56.691165
1248.5,45.097,56.3036045
1244.5,44.112,54.897384
1247.75,44.112,55.040748
1260.75,44.112,55.614204
1286,44.112,56.728032
1308.25,43.62,57.065865
1314.75,43.127,56.70122325
1310.5,43.127,56.5179335
1301.5,43.127,56.1297905
1295.25,43.127,55.86024675
1298,43.127,55.978846
1300,42.635,55.4255
1300.75,42.635,55.45747625
1295,39.187,50.747165
1284.25,33.77,43.3691225
1275.25,29.337,37.41200925
1270.5,27.86,35.39613
1260.5,26.382,33.254511
1251.25,24.905,31.16238125
1250,24.412,30.515
1251,24.412,30.539412
1253.25,23.92,29.97774
1252,23.92,29.94784
1253.25,23.92,29.97774
1248.75,23.92,29.8701
1247.75,23.92,29.84618
1249.75,23.92,29.89402
1248.5,23.92,29.86412
1247.75,23.427,29.23103925
1245.75,22.935,28.57127625
1246.75,22.935,28.59421125
1251.25,22.935,28.69741875
1251.75,22.935,28.70888625
1249.25,22.935,28.65154875
1258,22.935,28.85223
1259.25,22.935,28.88089875
1259.25,22.935,28.88089875
1264.25,22.935,28.99557375
1263,22.935,28.966905
1268.25,22.935,29.08731375
1274.25,23.427,29.85185475
1271,26.383,33.532793
1268,30.323,38.449564
1271.75,33.278,42.3212965
1282.25,34.755,44.56459875
1308.5,35.247,46.1206995
1325.75,36.233,48.03589975
1318.75,39.188,51.679175
1309.75,40.665,53.26098375
1302.75,41.157,53.61728175
1296.25,41.157,53.34976125
1301.5,41.158,53.567137
1301.25,41.65,54.1970625
1301,41.65,54.18665
1290,42.143,54.36447
1287.5,44.112,56.7942
1283,44.605,57.228215
1278.75,45.098,57.6690675
1259.5,47.56,59.90182
1245.75,50.515,62.92906125
1249.75,55.44,69.28614
1251,55.932,69.970932
1252.25,55.932,70.040847
1250,55.932,69.915
1251.25,55.933,69.98616625
1253.75,56.425,70.74284375
1249.25,56.425,70.48893125
1253.5,56.425,70.7287375
1256,42.635,53.54956
1265.5,34.262,43.358561
1251.25,26.875,33.62734375
1249.25,22.442,28.0356685
1252,22.442,28.097384
1257.75,21.95,27.6076125
1267.25,21.95,27.8161375
1283.5,21.457,27.5400595
1301.75,21.457,27.93164975
1307.75,21.457,28.06039175
1299.25,20.965,27.23877625
1292,20.965,27.08678
1284.75,20.965,26.93478375
1280.75,20.965,26.85092375
1279.75,20.965,26.82995875
1279.5,20.965,26.8247175
1279.5,20.965,26.8247175
1275,20.472,26.1018
1277.75,19.98,25.529445
1278.75,18.01,23.0302875
1279.5,10.13,12.961335
1280.5,2.742,3.511131
1280.5,-5.138,-6.579209
1257.5,-7.108,-8.93831
1224.5,-8.093,-9.9098785
1201,-9.57,-11.49357
1238.5,-11.048,-13.682948
1234.75,-13.018,-16.0739755
1224,-21.39,-26.18136
1228.5,-46.508,-57.135078
1223.75,-47,-57.51625
1215.75,-47,-57.14025
1204.75,-47,-56.62325
1211.5,-47,-56.9405
1221.5,-47,-57.4105
1215.25,-47,-57.11675
1208,-47,-56.776
1205,-47,-56.635
1204,-47,-56.588
1199,-47,-56.353
1194.75,-47,-56.15325
1195,-47,-56.165
1194.75,-47,-56.15325
1187.5,-47,-55.8125
1181.75,-47,-55.54225
1182.25,-47,-55.56575
1180.75,-47,-55.49525
1175,-47,-55.225
1170,-47,-54.99
1168.75,-47,-54.93125
1168.25,-47,-54.90775
1160,-50.94,-59.0904
1152.75,-66.208,-76.321272
1156.5,-84.43,-97.643295
1145.75,-100.19,-114.7926925
1133,-113.98,-129.13934
1126.25,-126.293,-142.2374913
1121.25,-136.635,-153.2019938
1111.5,-143.53,-159.533595
1105,-145.5,-160.7775
1089,-146.978,-160.059042
1088.25,-148.455,-161.5561538
1075,-147.47,-158.53025
1163,-145.5,-169.2165
1255,-137.127,-172.094385
1337.75,-126.785,-169.6066338
1427.5,-118.905,-169.7368875
1469.75,-110.04,-161.73129
1452,-106.1,-154.0572
1473,-105.608,-155.560584
1446,-106.1,-153.4206
1437.25,-106.1,-152.492225
1428.5,-106.1,-151.56385
1415.5,-106.1,-150.18455
1402.5,-106.593,-149.4966825
1391.25,-106.593,-148.2975113
1381.75,-106.593,-147.2848778
1372.75,-106.593,-146.3255408
1352.5,-106.593,-144.1670325
1342.5,-106.593,-143.1011025
1331.25,-106.593,-141.9019313
1314.5,-106.593,-140.1164985
1305.5,-106.593,-139.1571615
1292,-106.593,-137.718156
1282.5,-106.593,-136.7055225
1269,-106.593,-135.266517
1256.25,-106.593,-133.9074563
1244.75,-106.593,-132.6816368
1230.75,-106.593,-131.1893348
1217.25,-106.593,-129.7503293
1207.25,-106.592,-128.683192
1194.25,-106.1,-126.709925
1181,-106.1,-125.3041
1172.5,-106.1,-124.40225
1158.25,-106.1,-122.890325
1146.75,-105.115,-120.5406263
1137.5,-105.115,-119.5683125
1121.75,-105.115,-117.9127513
1109.75,-105.115,-116.6513713
1099.5,-105.115,-115.5739425
1090.75,-104.622,-114.1164465
1156.75,-103.145,-119.3129788
1235.5,-96.25,-118.916875
1284,-89.355,-114.73182
1327.75,-83.445,-110.7940988
1337.5,-78.028,-104.36245
1330.75,-78.028,-103.835761
1309,-78.028,-102.138652
1299,-78.027,-101.357073
1274.75,-77.535,-98.83774125
1259,-77.535,-97.616565
1242.25,-77.043,-95.70666675
1223.25,-77.043,-94.24284975
1211,-77.042,-93.297862
1192.25,-76.55,-91.2667375
1176,-77.043,-90.602568
1166.25,-77.042,-89.8502325
1153.75,-76.058,-87.7519175
1217.75,-74.58,-90.819795
1290.25,-70.147,-90.50716675
1356.25,-65.715,-89.12596875
1415.25,-61.282,-86.7293505
1472.25,-56.85,-83.6974125
1535.5,-53.402,-81.998771
1559.25,-47.985,-74.82061125
1541.25,-47.493,-73.19858625
1509.75,-47.492,-71.701047
1479,-47,-69.513
1457,-47,-68.479
1425.5,-47,-66.9985
1399.5,-47,-65.7765
1369.5,-47,-64.3665
1341.5,-46.508,-62.390482
1323,-46.015,-60.877845
1284.75,-45.522,-58.4843895
1253,-45.03,-56.42259
1214.75,-44.537,-54.10132075
1188.25,-43.553,-51.75185225
1152.5,-42.567,-49.0584675
1116.75,-42.075,-46.98725625
1095,-41.09,-44.99355
1054.25,-40.105,-42.28069625
1023.25,-39.613,-40.53400225
984.75,-38.627,-38.03793825
952.75,-37.642,-35.8634155
912.75,-36.165,-33.00960375
885,-32.717,-28.954545
849,-29.27,-24.85023
816.5,-24.345,-19.8776925
788.25,-20.405,-16.08424125
752.25,-16.957,-12.75590325
710.75,-9.57,-6.8018775
686.5,-5.138,-3.527237
656.75,-2.675,-1.75680625
624.25,1.265,0.78967625
592.75,9.637,5.71233175
555.25,9.638,5.3514995
529,10.13,5.35877
504,10.623,5.353992
487.25,11.115,5.41578375
479,11.608,5.560232
470,12.592,5.91824
463.75,12.1,5.611375
458,12.593,5.767594
457,13.085,5.979845
455,13.578,6.17799
449.25,14.07,6.3209475
448.5,15.055,6.7521675
452.25,14.563,6.58611675
464,15.547,7.213808
457.5,15.548,7.11321
459.5,16.04,7.37038
459.25,17.025,7.81873125
459.5,17.025,7.8229875
460.25,17.025,7.83575625
461,17.025,7.848525
459.5,17.025,7.8229875
458.75,17.025,7.81021875
396,19.487,7.716852
250.75,17.025,4.26901875
156.75,17.025,2.66866875
0,19.487,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
0,17.025,0
185.5,19.98,3.70629
338,19.487,6.586606
475,19.488,9.2568
574.5,29.338,16.854681
611.75,33.77,20.6587975
705.5,31.307,22.0870885
869,26.875,23.354375
929.75,26.383,24.52959425
983.75,39.68,39.0352
990.75,48.053,47.60850975
1057.25,58.887,62.25828075
1150.75,56.425,64.93106875
1202,59.873,71.967346
1245.75,66.768,83.176236
1290,69.723,89.94267
1286,77.11,99.16346
1316.75,80.065,105.4255888
1355.5,79.572,107.859846
1412,79.573,112.357076
1451.5,83.02,120.50353
1477,86.96,128.43992
1501.75,87.945,132.0714038
1517.5,88.93,134.951275
1516,91.393,138.551788
1504.75,94.84,142.71049
1493.5,103.212,154.147122
1504.5,112.57,169.361565
1556.25,117.987,183.6172688
1639.75,116.51,191.0472725
1684,115.525,194.5441
1777.75,112.077,199.2448868
1821.25,111.092,202.326305
1850.5,111.092,205.575746
1882.5,111.092,209.13069
1926.5,110.6,213.0709
1967.75,109.615,215.6949163
2005.25,109.122,218.8168905
2054.25,108.63,223.1531775
2096.75,107.645,225.7046538
2154,106.66,229.74564
2202.75,105.182,231.6896505
2252,103.705,233.54366
2302.75,102.72,236.53848
2347,101.242,237.614974
2387.75,97.302,232.3328505
2396.25,96.81,231.9809625
2305,100.258,231.09469
2160.25,105.675,228.2844188
2014,114.048,229.692672
1919.75,120.45,231.2338875
1922.5,121.927,234.4046575
1983,118.973,235.923459
2009,124.882,250.887938
2027,124.882,253.135814
2058.75,124.39,256.0879125
2079.5,125.375,260.7173125
2098.25,125.868,264.102531
2105,126.853,267.025565
2093.75,127.838,267.6608125
2081.75,131.285,273.3025488
2088.5,134.24,280.36024
2105,134.733,283.612965
2083.5,139.165,289.9502775
2076.75,143.105,297.1933088
2096.75,143.105,300.0554088
2116.75,143.105,302.9175088
2136.75,146.552,313.144986
2169.75,146.552,317.981202
2220.75,144.09,319.9878675
2242.25,141.627,317.5631408
2276.25,138.18,314.532225
2307.25,122.912,283.588712
2336.25,117.002,273.3459225
2336.25,115.525,269.8952813
2391,98.78,236.18298
2386.75,88.93,212.2536775
2391.5,88.93,212.676095
2319.5,87.452,202.844914
2191,82.528,180.818848
2062,87.453,180.328086
1933.25,92.87,179.5409275
1819,100.75,183.26425
1744.5,105.675,184.3500375
1706.5,107.645,183.6961925
1717,107.152,183.979984
1735,99.765,173.092275
1742.75,96.317,167.8564518
1726.25,91.392,157.76544
1711.75,84.99,145.4816325
1719.75,84.497,145.3137158
1721.5,84.005,144.6146075
1720.25,101.735,175.0096338
1728.75,144.09,249.0955875
1891.75,147.045,278.1723788
1864.75,149.508,278.795043
1788.5,166.745,298.2234325
1749,177.58,310.58742
1746,176.595,308.33487
1646,158.865,261.49179
1526.25,166.745,254.4945563
1431.5,142.12,203.44478
1377.75,130.3,179.520825
1395,130.3,181.7685
1388.25,129.807,180.2045678
1408.75,129.807,182.8656113
1416.75,129.807,183.9040673
1433,129.807,186.013431
1473.75,129.807,191.3030663
1496.5,129.315,193.5198975
1502.25,128.822,193.5228495
1503.75,128.33,192.9762375
1515.5,122.912,186.273136
1527,115.525,176.406675
1496.75,106.167,158.9054573
1510.5,96.81,146.231505
1512.75,82.527,124.8427193
1477,79.572,117.527844
1483,76.125,112.893375
1488.25,65.782,97.9000615
1494.25,64.797,96.82291725
1495,64.797,96.871515
1504.75,63.32,95.28077
1528.75,54.947,84.00022625
1544.5,52.977,81.8229765
1544.75,45.59,70.4251525
1548,29.337,45.413676
1545,21.95,33.91275
1525.25,17.025,25.96738125
1502.75,14.07,21.1436925
1526.5,14.07,21.477855
1559.5,14.07,21.942165
1582,13.577,21.478814
1573.25,13.577,21.36001525
1560.25,13.577,21.18351425
1555.5,13.577,21.1190235
1553.25,13.577,21.08847525
1555.25,13.577,21.11562925
1554.75,13.577,21.10884075
1547.5,13.577,21.0104075
1547.5,13.577,21.0104075
1540,13.577,20.90858
1539,13.577,20.895003
1537.25,13.577,20.87124325
1531.5,13.577,20.7931755
1539.5,13.577,20.9017915
1536.25,13.577,20.85766625
1533.25,13.577,20.81693525
1530.5,13.577,20.7795985
1534,13.577,20.827118
1529.25,13.577,20.76262725
1528.75,13.577,20.75583875
1530,13.577,20.77281
1527,13.577,20.732079
1534,13.577,20.827118
1527,13.577,20.732079
1523.25,13.577,20.68116525
1519,13.577,20.623463
1525.75,13.577,20.71510775
1525.75,13.577,20.71510775
1525.75,13.577,20.71510775
1522.75,13.577,20.67437675
1521.5,9.145,13.9141175
1516.5,3.727,5.6519955
1510.25,-1.69,-2.5523225
1494,-2.675,-3.99645
1471.25,-3.66,-5.384775
1461.75,-4.153,-6.07064775
1444.5,-5.138,-7.421841
1480.5,-5.63,-8.335215
1465,-6.615,-9.690975
1467.5,-8.093,-11.8764775
1454.5,-14.988,-21.800046
1461.25,-26.808,-39.17319
1451.5,-35.18,-51.06377
1442.75,-35.18,-50.755945
1436,-35.673,-51.226428
1441.75,-35.673,-51.43154775
1434.75,-35.673,-51.18183675
1430,-35.673,-51.01239
1422.5,-45.03,-64.055175
1409.5,-58.328,-82.213316
1401.5,-70.148,-98.312422
1387,-79.998,-110.957226
1368.75,-88.863,-121.6312313
1360.75,-96.25,-130.9721875
1344,-102.653,-137.965632
1323.5,-104.13,-137.816055
1315.75,-105.115,-138.3050613
1293.5,-106.1,-137.24035
1278.75,-106.1,-135.675375
1263,-106.1,-134.0043
1245.25,-106.1,-132.121025
1228.25,-106.1,-130.317325
1218.5,-106.1,-129.28285
1233.25,-105.607,-130.2398328
1336.25,-101.668,-135.853865
1404.5,-92.31,-129.649395
1432.5,-86.4,-123.768
1461.5,-82.46,-120.51529
1469.25,-78.028,-114.642639
1450.5,-78.028,-113.179614
1427,-78.028,-111.345956
1407.5,-78.028,-109.82441
1386.5,-78.028,-108.185822
1367.25,-78.028,-106.683783
1346.5,-78.028,-105.064702
1326.5,-78.028,-103.504142
1305,-78.027,-101.825235
1290.5,-77.535,-100.0589175
1261.25,-77.535,-97.79101875
1243,-77.043,-95.764449
1223.75,-77.042,-94.2801475
1201,-76.55,-91.93655
1182,-76.55,-90.4821
1165,-76.55,-89.18075
1149.25,-76.55,-87.9750875
1146.25,-75.565,-86.61638125
1212.75,-73.595,-89.25233625
1285.5,-68.67,-88.275285
1361.25,-63.745,-86.77288125
1418.75,-58.82,-83.450875
1478.75,-54.88,-81.1538
1521.25,-50.94,-77.492475
1503,-47.492,-71.380476
1495.5,-47,-70.2885
1447.25,-47,-68.02075
1424,-47,-66.928
1389.5,-47,-65.3065
1360.5,-46.508,-63.274134
1331.75,-46.507,-61.93569725
1299.75,-46.015,-59.80799625
1272.5,-45.522,-57.926745
1243.5,-45.03,-55.994805
1211.75,-44.045,-53.37152875
1186.25,-43.552,-51.66356
1148.75,-42.568,-48.89999
1124,-41.582,-46.738168
1088.5,-41.09,-44.726465
1061.5,-40.105,-42.5714575
1027.25,-39.612,-40.691427
994,-38.628,-38.396232
957.5,-37.642,-36.042215
